"","MovieID","Action","Adventure","Animation","Children.s","Comedy","Crime","Documentary","Drama","Fantasy","Film.Noir","Horror","Musical","Mystery","Romance","Sci.Fi","Thriller","War","Western","ave_ratings","Title"
"69",318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.555,"Shawshank Redemption, The (1994)"
"172",858,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.525,"Godfather, The (1972)"
"100",50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.517,"Usual Suspects, The (1995)"
"13",527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.51,"Schindler's List (1993)"
"53",1198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.478,"Raiders of the Lost Ark (1981)"
"163",904,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.476,"Rear Window (1954)"
"22",260,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.454,"Star Wars: Episode IV - A New Hope (1977)"
"162",750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.45,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"
"129",912,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4.413,"Casablanca (1942)"
"17",2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.406,"Sixth Sense, The (1999)"
"117",913,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.396,"Maltese Falcon, The (1941)"
"1",1193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.391,"One Flew Over the Cuckoo's Nest (1975)"
"169",923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.389,"Citizen Kane (1941)"
"112",908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.384,"North by Northwest (1959)"
"133",1221,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.358,"Godfather: Part II, The (1974)"
"54",593,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.352,"Silence of the Lambs, The (1991)"
"155",1252,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.339,"Chinatown (1974)"
"24",2028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.337,"Saving Private Ryan (1998)"
"85",1136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.335,"Monty Python and the Holy Grail (1974)"
"138",2324,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.33,"Life Is Beautiful (La Vita è bella) (1997)"
"187",1234,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.32,"Sting, The (1973)"
"44",2858,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.317,"American Beauty (1999)"
"55",2571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.316,"Matrix, The (1999)"
"4",1197,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.304,"Princess Bride, The (1987)"
"152",1233,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.303,"Boat, The (Das Boot) (1981)"
"51",1196,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4.293,"Star Wars: Episode V - The Empire Strikes Back (1980)"
